"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.203056,-0.127862777778,0.861162901235
0.1,0.19551,-0.0916572222222,1.04240770062
0.15,0.1912225,-0.033614,1.25684092593
0.2,0.191394,0.0385875,1.37497478395
0.25,0.195167,0.113666388889,1.28828259259
0.3,0.2032275,0.176740277778,0.98357367284
0.35,0.2138605,0.216375833333,0.558539506173
0.4,0.225694,0.233906944444,0.0863322530864
0.45,0.2382135,0.226475277778,-0.41117654321
0.5,0.2495325,0.191031944444,-0.862475617284
0.55,0.2581075,0.135294444444,-1.19960015432
0.6,0.2635955,0.0657416666667,-1.40317700617
0.65,0.2649675,-0.0109569444444,-1.45626790123
0.7,0.262395,-0.0854641666667,-1.36300154321
0.75,0.256221,-0.1534925,-1.11575570988
0.8,0.246274,-0.203036944444,-0.726598919753
0.85,0.234955,-0.2289525,-0.262860802469
0.9,0.2224355,-0.230476944444,0.228878395062
0.95,0.2107735,-0.204656666667,0.686793981481
1,0.2011695,-0.158161111111,1.05985941358
1.05,0.1943095,-0.0948013888889,1.33071296296
1.1,0.1912225,-0.0201036111111,1.46860108025
1.15,0.19208,0.0589769444444,1.4364712963
1.2,0.1973965,0.131388055556,1.21892037037
1.25,0.2059715,0.186172777778,0.866392592593
1.3,0.216776,0.221139722222,0.431555401235
1.35,0.229124,0.230762777778,-0.0417634259259
1.4,0.240786,0.216280555556,-0.502431481481
1.45,0.2515905,0.179789166667,-0.93208132716
1.5,0.2598225,0.119097222222,-1.26100138889
1.55,0.2639385,0.0466861111111,-1.42704938272
1.6,0.2646245,-0.0297266666667,-1.43816512346
1.65,0.2608515,-0.103090555556,-1.29646589506
1.7,0.25382,-0.164354166667,-1.02418317901
1.75,0.243873,-0.210563888889,-0.629521450617
1.8,0.2316965,-0.231143888889,-0.146833641975
1.85,0.2196915,-0.225331944444,0.343105864198
1.9,0.208201,-0.195033611111,0.789958641975
1.95,0.199283,-0.142440277778,1.14179830247
2,0.193452,-0.0761269444444,1.37141774691
2.05,0.1912225,0.000285833333333,1.45669135802
2.1,0.193452,0.0770797222222,1.36368966049
2.15,0.1994545,0.142345,1.12644799383
2.2,0.208201,0.193795,0.780219135802
2.25,0.2196915,0.223902777778,0.345858333333
2.3,0.231525,0.230191111111,-0.133018364198
2.35,0.2437015,0.211326111111,-0.620152469136
2.4,0.25382,0.165116388889,-1.03270524691
2.45,0.2608515,0.102137777778,-1.30668179012
2.5,0.264453,0.0284880555556,-1.43165447531
2.55,0.263767,-0.0471625,-1.40153611111
2.6,0.2594795,-0.116715277778,-1.23665262346
2.65,0.251762,-0.176454444444,-0.932822376543
2.7,0.2409575,-0.215041944444,-0.510265432099
2.75,0.2292955,-0.229619444444,-0.033400154321
2.8,0.2169475,-0.218281388889,0.443041666667
2.85,0.206486,-0.182456944444,0.855170987654
2.9,0.1980825,-0.129673055556,1.18419691358
2.95,0.192766,-0.0595486111111,1.39581944444
3,0.1919085,0.0165783333333,1.4446757716
3.05,0.194481,0.0911808333333,1.33399475309
3.1,0.201341,0.157017777778,1.05530725309
3.15,0.2111165,0.201321944444,0.661227777778
3.2,0.222264,0.224950833333,0.213898611111
3.25,0.234612,0.223616944444,-0.255238580247
3.3,0.245588,0.1980825,-0.692457716049
3.35,0.255192,0.152349166667,-1.07071049383
3.4,0.261709,0.0863216666667,-1.33219506173
3.45,0.26411,0.0121955555556,-1.42980185185
3.5,0.2629095,-0.0622163888889,-1.38015154321
3.55,0.2577645,-0.132055,-1.17408688272
3.6,0.249018,-0.185505833333,-0.826799382716
3.65,0.238385,-0.218186111111,-0.392015123457
3.7,0.2262085,-0.226284722222,0.0828916666667
3.75,0.214718,-0.208658333333,0.533396759259
3.8,0.2045995,-0.171023611111,0.931763734568
3.85,0.1967105,-0.112046666667,1.23945802469
3.9,0.1929375,-0.04116,1.40291234568
3.95,0.192423,0.0341094444444,1.41540432099
4,0.1963675,0.107663888889,1.25359089506
4.05,0.2039135,0.165116388889,0.951666203704
4.1,0.2135175,0.2058,0.565261882716
4.15,0.225351,0.224474444444,0.111633796296
4.2,0.237013,0.217519166667,-0.35501558642
4.25,0.247989,0.1877925,-0.790593827161
4.3,0.2567355,0.135103888889,-1.1406337963
4.35,0.262052,0.0683141666667,-1.35622623457
4.4,0.2639385,-0.00705055555556,-1.41296944444
4.45,0.2611945,-0.0796522222222,-1.30678765432
4.5,0.255535,-0.141963888889,-1.08161450617
4.55,0.246617,-0.192651666667,-0.735703240741
4.6,0.235298,-0.219996388889,-0.287738888889
4.65,0.223636,-0.222759444444,0.193413888889
4.7,0.211974,-0.199702222222,0.650694290123
4.75,0.202713,-0.153397222222,1.00782716049
4.8,0.196196,-0.0942297222222,1.23993441358
4.85,0.192766,-0.0229619444444,1.30715817901
4.9,0.193795,0.0454475,1.19170268519
4.95,0.1980825,0.0997558333333,1.00293094136
5,0.206143,0.136628333333,0.849983641975
