"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.300468,-0.263728888889,-0.971716882716
0.1,0.2889775,-0.309795694444,-0.975443302469
0.15,0.2721705,-0.368039,-0.833378842593
0.2,0.251419,-0.4107425,-0.362600756173
0.25,0.2292955,-0.416363888889,0.405242854938
0.3,0.2080295,-0.375108611111,1.28814496914
0.35,0.1898505,-0.2855475,2.07155061728
0.4,0.176988,-0.148538055556,2.43244166667
0.45,0.175273,-0.0133388888889,2.24320941358
0.5,0.1788745,0.0698386111111,2.08938873457
0.55,0.1805895,0.177311944444,2.17635617284
0.6,0.194824,0.3087,1.85558765432
0.65,0.2142035,0.387780555556,1.04265648148
0.7,0.2358125,0.415792222222,0.101576697531
0.75,0.257593,0.394640555556,-0.795357716049
0.8,0.2769725,0.330804444444,-1.55329243827
0.85,0.2920645,0.232096666667,-2.12601774691
0.9,0.301154,0.108997777778,-2.46626527778
0.95,0.3033835,-0.0248675,-2.54550462963
1,0.2985815,-0.156255555556,-2.35510787037
1.05,0.287091,-0.270779444444,-1.90724938272
1.1,0.270284,-0.355195555556,-1.25364382716
1.15,0.250047,-0.40131,-0.467655092593
1.2,0.228438,-0.404263611111,0.375553240741
1.25,0.207858,-0.362627222222,1.18382638889
1.3,0.1905365,-0.280878888889,1.86103966049
1.35,0.17836,-0.165878611111,2.29471234568
1.4,0.1737295,-0.0410647222222,2.47484027778
1.45,0.1740725,0.0882272222222,2.45435555556
1.5,0.182476,0.215327777778,2.16386419753
1.55,0.1967105,0.316512777778,1.59754367284
1.6,0.2155755,0.382254444444,0.849083796296
1.65,0.23667,0.404549444444,0.0160913580247
1.7,0.2577645,0.383207222222,-0.803668055556
1.75,0.2766295,0.320609722222,-1.53286064815
1.8,0.291207,0.223426388889,-2.09690509259
1.85,0.2999535,0.101851944444,-2.43312978395
1.9,0.30184,-0.0307747222222,-2.49892438272
1.95,0.296695,-0.159113888889,-2.28910154321
2,0.2852045,-0.269445555556,-1.83383256173
2.05,0.268569,-0.350145833333,-1.18599660494
2.1,0.248675,-0.392925555556,-0.415358179012
2.15,0.2275805,-0.393306666667,0.397837654321
2.2,0.2076865,-0.351670277778,1.17271064815
2.25,0.1908795,-0.271636944444,1.83049783951
2.3,0.1792175,-0.160161944444,2.28020895062
2.35,0.174244,-0.032585,2.46377746914
2.4,0.175959,0.0962305555556,2.38993719136
2.45,0.184191,0.215899444444,2.07028024691
2.5,0.1984255,0.3129875,1.51412268519
2.55,0.2169475,0.374441666667,0.783712654321
2.6,0.2375275,0.39445,-0.0275776234568
2.65,0.2581075,0.3712975,-0.829763580247
2.7,0.2762865,0.307556666667,-1.53386635802
2.75,0.290178,0.210849722222,-2.06276388889
2.8,0.2982385,0.0922288888889,-2.36474151235
2.85,0.299782,-0.0358244444444,-2.41105709877
2.9,0.2944655,-0.159209166667,-2.1993287037
2.95,0.2831465,-0.264872222222,-1.7578220679
3,0.266854,-0.342237777778,-1.13290570988
3.05,0.2474745,-0.383111944444,-0.384763425926
3.1,0.2268945,-0.382730833333,0.411758796296
3.15,0.207515,-0.340332222222,1.16826435185
3.2,0.191394,-0.260965833333,1.8005382716
3.25,0.1802465,-0.152539722222,2.23775740741
3.3,0.1754445,-0.0269636111111,2.4223845679
3.35,0.1775025,0.100422777778,2.33832839506
3.4,0.185906,0.2169475,1.99940416667
3.45,0.2001405,0.3095575,1.43520092593
3.5,0.2183195,0.366533611111,0.719770679012
3.55,0.238385,0.383683611111,-0.0563197530864
3.6,0.258279,0.360340555556,-0.819653549383
3.65,0.2759435,0.298695833333,-1.50231882716
3.7,0.289492,0.203894444444,-2.0279875
3.75,0.2972095,0.0869886111111,-2.33155308642
3.8,0.2985815,-0.0395402777778,-2.37749814815
3.85,0.2930935,-0.161686388889,-2.15454814815
3.9,0.281603,-0.264395833333,-1.69721481481
3.95,0.265482,-0.337855,-1.07118688272
4,0.2464455,-0.376061388889,-0.331884259259
4.05,0.2262085,-0.372917222222,0.449605246914
4.1,0.207515,-0.328994166667,1.18012114198
4.15,0.1919085,-0.249723055556,1.78174737654
4.2,0.181447,-0.143107222222,2.18932453704
4.25,0.176988,-0.0212469444444,2.35775447531
4.3,0.1792175,0.103090555556,2.26655246914
4.35,0.1877925,0.215327777778,1.92704598765
4.4,0.201684,0.304031388889,1.37999274691
4.45,0.21952,0.359483055556,0.680495061728
4.5,0.2392425,0.374918055556,-0.0900904320988
4.55,0.258622,0.34986,-0.845749074074
4.6,0.275772,0.286405,-1.50348333333
4.65,0.288463,0.192651666667,-1.99072330247
4.7,0.2958375,0.0787947222222,-2.26268842593
4.75,0.296695,-0.0435419444444,-2.28717481481
4.8,0.291207,-0.159685555556,-2.06823177469
4.85,0.2800595,-0.258965,-1.64427742284
4.9,0.2642815,-0.329337166667,-1.14030032407
4.95,0.2454165,-0.366962361111,-0.736317253086
5,0.2258655,-0.383778888889,-0.48831978395
