"Latest: Time (s)","Latest: Position (m)","Latest: Velocity (m/s)","Latest: Acceleration (m/s²)"
0.05,0.198254,-0.212278888889,0.954545709877
0.1,0.1864205,-0.172309861111,1.12322442901
0.15,0.1775025,-0.104958,1.27756384259
0.2,0.175959,-0.0348716666667,1.28449794753
0.25,0.1754445,0.0185791666667,1.36243516975
0.3,0.176302,0.0961352777778,1.47921925926
0.35,0.1843625,0.1826475,1.27910416667
0.4,0.196196,0.238194444444,0.787312037037
0.45,0.209573,0.261823333333,0.238035648148
0.5,0.223293,0.259250833333,-0.275564506173
0.55,0.236327,0.233811666667,-0.761322376543
0.6,0.2478175,0.181599444444,-1.19160740741
0.65,0.2553635,0.108521388889,-1.4792933642
0.7,0.258965,0.0265825,-1.59611450617
0.75,0.2581075,-0.0574525,-1.54805216049
0.8,0.2529625,-0.134532222222,-1.34336373457
0.85,0.2440445,-0.197034444444,-1.00825061728
0.9,0.2323825,-0.238194444444,-0.589293055556
0.95,0.21952,-0.258965,-0.100041666667
1,0.2052855,-0.250771111111,0.432243518519
1.05,0.193109,-0.212088333333,0.88920632716
1.1,0.183505,-0.156255555556,1.22320787037
1.15,0.176988,-0.0867027777778,1.45970848765
1.2,0.174244,-0.00504972222222,1.55869151235
1.25,0.1764735,0.077175,1.47246512346
1.3,0.182476,0.148061666667,1.23522345679
1.35,0.191737,0.205704722222,0.872638580247
1.4,0.204085,0.238956666667,0.422504012346
1.45,0.2166045,0.247912777778,-0.041287037037
1.5,0.2296385,0.235431388889,-0.513441358025
1.55,0.2413005,0.195700555556,-0.951666203704
1.6,0.250047,0.135485,-1.2778337963
1.65,0.2553635,0.0618352777778,-1.4575912037
1.7,0.2563925,-0.0162925,-1.48490416667
1.75,0.2536485,-0.0922288888889,-1.36850648148
1.8,0.2467885,-0.158446944444,-1.11713194444
1.85,0.2371845,-0.208753611111,-0.747930555556
1.9,0.225008,-0.23667,-0.29668441358
1.95,0.2124885,-0.239147222222,0.17451712963
2,0.2001405,-0.217805,0.615229783951
2.05,0.1898505,-0.174644166667,0.985913271605
2.1,0.182133,-0.116429444444,1.27561064815
2.15,0.1775025,-0.0425891666667,1.44562854938
2.2,0.177674,0.0359197222222,1.43551851852
2.25,0.181447,0.107282777778,1.26846481481
2.3,0.1888215,0.167403055556,0.980090740741
2.35,0.19894,0.208944166667,0.60152037037
2.4,0.210602,0.228857222222,0.182351080247
2.45,0.222607,0.227809166667,-0.255026851852
2.5,0.234269,0.203989722222,-0.693516358025
2.55,0.2440445,0.155969722222,-1.06541728395
2.6,0.2505615,0.0910855555556,-1.2946132716
2.65,0.2533055,0.0204847222222,-1.37782253086
2.7,0.2526195,-0.0507830555556,-1.34357546296
2.75,0.2481605,-0.118811388889,-1.18139151235
2.8,0.2402715,-0.17493,-0.880154938272
2.85,0.22981,-0.210754444444,-0.482529012346
2.9,0.2183195,-0.224379166667,-0.0488033950617
2.95,0.206486,-0.215518333333,0.382328549383
3,0.195853,-0.184171944444,0.7674625
3.05,0.1874495,-0.136056666667,1.08166743827
3.1,0.1816185,-0.0726969444444,1.30202376543
3.15,0.179732,0.000476388888889,1.36988271605
3.2,0.18179,0.0713630555556,1.27132314815
3.25,0.187278,0.132721944444,1.04286820988
3.3,0.1956815,0.178741111111,0.728769135802
3.35,0.2058,0.207800833333,0.356127160494
3.4,0.2172905,0.21609,-0.0581723765432
3.45,0.2282665,0.20237,-0.477553395062
3.5,0.238385,0.167307777778,-0.860887654321
3.55,0.245931,0.111189166667,-1.12840648148
3.6,0.249704,0.04802,-1.25062669753
3.65,0.250733,-0.0169594444444,-1.27693395062
3.7,0.2481605,-0.0834633333333,-1.19483626543
3.75,0.242158,-0.143107222222,-0.962623148148
3.8,0.2330685,-0.184934166667,-0.610465895062
3.85,0.2227785,-0.205323611111,-0.217709722222
3.9,0.2118025,-0.206371666667,0.17494058642
3.95,0.201341,-0.187125555556,0.549541049383
4,0.192423,-0.150348333333,0.889365123457
4.05,0.185563,-0.0957541666667,1.15873657407
4.1,0.1823045,-0.0286786111111,1.28942592593
4.15,0.1826475,0.0401119444444,1.25703148148
4.2,0.186592,0.102614166667,1.08590200617
4.25,0.193452,0.152158611111,0.82018287037
4.3,0.20237,0.186935,0.489251388889
4.35,0.2128315,0.203608611111,0.101470833333
4.4,0.223636,0.198273055556,-0.307800154321
4.45,0.233583,0.170737777778,-0.67144367284
4.5,0.2413005,0.127481666667,-0.950925154321
4.55,0.2467885,0.0723158333333,-1.14243348765
4.6,0.2488465,0.00933722222222,-1.22924212963
4.65,0.2478175,-0.0554516666667,-1.19150154321
4.7,0.243187,-0.116238888889,-1.00496882716
4.75,0.2354695,-0.160828888889,-0.703827530864
4.8,0.22638,-0.187601944444,-0.369963611111
4.85,0.21609,-0.197415555556,-0.0520428395061
4.9,0.2058,-0.189393166667,0.174263055556
4.95,0.1967105,-0.172643333333,0.266391373457
5,0.189336,-0.158351666667,0.289792654321
